                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.1049,                0.61595,                 1.2687,                0.94548,                0.93963,                0.97158,                0.51495,                  2.079,                0.60057,                 1.2958,               0.008878,               0.008878,               0.008878
                     36,                 2.0819,                0.61047,                  1.271,                0.95547,                0.93359,                0.97252,                0.51144,                 2.1242,                 0.6051,                 1.3059,               0.008845,               0.008845,               0.008845
                     37,                 2.1344,                0.61749,                 1.2631,                0.94732,                0.93715,                 0.9711,                0.50684,                  2.157,                0.60298,                 1.3063,               0.008812,               0.008812,               0.008812
                     38,                 2.0874,                0.60472,                 1.2653,                0.95249,                0.93731,                 0.9724,                0.51694,                 2.1024,                0.59376,                  1.302,               0.008779,               0.008779,               0.008779
                     39,                 2.1195,                0.60841,                  1.251,                0.94727,                  0.938,                0.97148,                0.51417,                 2.1183,                0.59918,                 1.3013,               0.008746,               0.008746,               0.008746
                     40,                 2.0919,                0.60459,                 1.2457,                0.94826,                0.93965,                0.97126,                0.51929,                 2.0924,                0.58809,                 1.3009,               0.008713,               0.008713,               0.008713
                     41,                  2.096,                0.60143,                 1.2535,                 0.9485,                0.94023,                0.97216,                0.50708,                 2.2011,                0.60013,                 1.3139,                0.00868,                0.00868,                0.00868
                     42,                 2.0867,                0.60074,                 1.2497,                0.94845,                0.93721,                0.97235,                0.50765,                 2.1977,                0.59491,                   1.31,               0.008647,               0.008647,               0.008647
                     43,                 2.0926,                0.59969,                 1.2466,                0.94818,                0.93947,                0.97151,                0.50222,                 2.2405,                0.60114,                 1.3115,               0.008614,               0.008614,               0.008614
                     44,                 2.1124,                 0.5997,                  1.246,                0.94409,                0.94041,                0.97157,                0.50882,                 2.1812,                0.59302,                 1.3062,               0.008581,               0.008581,               0.008581
                     45,                 2.1091,                0.59548,                 1.2486,                0.95007,                0.93955,                0.97108,                0.50157,                 2.2631,                0.59524,                 1.3176,               0.008548,               0.008548,               0.008548
                     46,                 2.1008,                0.59521,                 1.2402,                0.95106,                0.94219,                0.97352,                0.51539,                 2.1597,                 0.5861,                 1.3028,               0.008515,               0.008515,               0.008515
                     47,                 2.0742,                0.59052,                 1.2424,                0.95138,                0.94097,                0.97351,                 0.5278,                 2.0962,                0.57732,                 1.2963,               0.008482,               0.008482,               0.008482
                     48,                 2.0872,                  0.589,                 1.2406,                0.94924,                0.94361,                0.97386,                0.52377,                 2.1205,                 0.5785,                 1.2971,               0.008449,               0.008449,               0.008449
                     49,                 2.0922,                0.58853,                 1.2437,                0.94955,                0.94026,                 0.9732,                0.52151,                 2.1347,                0.58229,                 1.2985,               0.008416,               0.008416,               0.008416
                     50,                 2.0904,                0.58569,                 1.2319,                 0.9482,                0.94534,                0.97389,                0.52178,                 2.1498,                0.57989,                 1.3059,               0.008383,               0.008383,               0.008383
                     51,                 2.0908,                0.58713,                 1.2436,                0.95179,                0.93972,                0.97364,                0.50902,                 2.2267,                0.58883,                 1.3131,                0.00835,                0.00835,                0.00835
                     52,                 2.1059,                0.58597,                 1.2352,                0.95057,                0.94301,                0.97473,                0.51954,                 2.1772,                0.58097,                  1.306,               0.008317,               0.008317,               0.008317
                     53,                 2.0607,                0.57722,                 1.2346,                0.94942,                0.93908,                0.97266,                 0.5136,                 2.2138,                0.58436,                 1.3106,               0.008284,               0.008284,               0.008284
                     54,                  2.065,                0.57935,                  1.226,                0.94941,                0.94186,                0.97324,                0.51275,                 2.2256,                0.58148,                 1.3115,               0.008251,               0.008251,               0.008251
                     55,                 2.0472,                0.57647,                 1.2312,                0.95156,                0.93856,                0.97295,                0.51458,                 2.2371,                0.58286,                 1.3092,               0.008218,               0.008218,               0.008218
                     56,                 2.0793,                 0.5786,                 1.2246,                0.94818,                0.94341,                 0.9735,                0.50939,                 2.2618,                0.58251,                 1.3168,               0.008185,               0.008185,               0.008185
                     57,                 2.0644,                0.57486,                 1.2265,                0.94934,                0.94084,                0.97133,                0.49947,                 2.3319,                0.58843,                 1.3252,               0.008152,               0.008152,               0.008152
                     58,                 2.0326,                0.57087,                 1.2161,                0.94943,                 0.9422,                 0.9737,                0.51393,                 2.2542,                0.57901,                 1.3182,               0.008119,               0.008119,               0.008119
                     59,                 2.0583,                0.57282,                 1.2204,                  0.953,                0.94282,                0.97447,                0.52113,                 2.2013,                0.57295,                   1.31,               0.008086,               0.008086,               0.008086
                     60,                 2.0328,                0.57165,                 1.2248,                0.94967,                0.94097,                0.97416,                0.51154,                 2.2776,                0.58068,                 1.3251,               0.008053,               0.008053,               0.008053
                     61,                 2.0264,                0.56573,                 1.2153,                0.94903,                0.94375,                0.97387,                0.51208,                 2.2729,                0.57846,                 1.3171,                0.00802,                0.00802,                0.00802
                     62,                 2.0711,                0.57105,                 1.2123,                 0.9468,                0.94256,                0.97108,                0.50162,                 2.3331,                0.58288,                 1.3241,               0.007987,               0.007987,               0.007987
                     63,                 2.0669,                0.56918,                 1.2097,                0.94883,                0.94539,                 0.9739,                0.51901,                 2.2081,                0.57276,                 1.3085,               0.007954,               0.007954,               0.007954
                     64,                  2.053,                0.56793,                 1.2045,                 0.9503,                0.94542,                0.97473,                0.52377,                 2.1905,                 0.5685,                 1.3098,               0.007921,               0.007921,               0.007921
                     65,                 2.0453,                0.56621,                 1.2119,                0.94841,                0.94322,                0.97293,                0.50921,                  2.296,                0.58107,                 1.3186,               0.007888,               0.007888,               0.007888
                     66,                 2.0444,                0.56306,                 1.2053,                0.95118,                 0.9412,                0.97181,                0.50906,                 2.2965,                0.57999,                  1.325,               0.007855,               0.007855,               0.007855
                     67,                 2.0421,                0.56315,                 1.2008,                0.94702,                0.94599,                0.97247,                0.51478,                 2.2329,                 0.5742,                 1.3115,               0.007822,               0.007822,               0.007822
                     68,                 2.0323,                0.56131,                  1.202,                0.95016,                0.94302,                0.97318,                0.51597,                 2.2621,                0.57474,                 1.3204,               0.007789,               0.007789,               0.007789
                     69,                  1.997,                0.55537,                  1.197,                0.94876,                0.94552,                 0.9734,                0.51888,                 2.2413,                0.57209,                 1.3167,               0.007756,               0.007756,               0.007756
                     70,                 2.0242,                0.55765,                 1.2012,                0.94968,                0.94196,                0.97206,                0.50859,                 2.2993,                0.57765,                 1.3244,               0.007723,               0.007723,               0.007723
                     71,                 2.0349,                0.55964,                 1.2041,                0.94923,                 0.9449,                0.97231,                0.51319,                  2.274,                0.57533,                 1.3197,                0.00769,                0.00769,                0.00769
                     72,                 1.9911,                 0.5554,                 1.1949,                0.94755,                0.94603,                0.97287,                0.51063,                  2.291,                0.57376,                 1.3236,               0.007657,               0.007657,               0.007657
                     73,                 1.9913,                  0.554,                 1.1899,                0.95054,                0.94526,                0.97287,                0.51805,                 2.2479,                0.56791,                 1.3222,               0.007624,               0.007624,               0.007624
                     74,                 1.9975,                0.55397,                 1.1934,                0.94938,                0.94335,                0.97154,                0.51007,                 2.3028,                0.57387,                 1.3236,               0.007591,               0.007591,               0.007591
                     75,                 1.9725,                0.54874,                 1.1907,                0.94778,                0.94382,                0.97135,                0.51802,                 2.2664,                0.57021,                 1.3214,               0.007558,               0.007558,               0.007558
                     76,                 1.9758,                0.54938,                 1.1869,                0.94796,                0.94394,                0.97126,                0.50838,                 2.3221,                0.57154,                 1.3291,               0.007525,               0.007525,               0.007525
                     77,                 1.9618,                 0.5492,                 1.1859,                0.95135,                0.94529,                0.97332,                0.51973,                 2.2614,                0.57048,                 1.3204,               0.007492,               0.007492,               0.007492
                     78,                  1.966,                0.54879,                 1.1876,                0.95221,                0.94259,                0.97202,                0.51036,                 2.3218,                 0.5752,                 1.3333,               0.007459,               0.007459,               0.007459
                     79,                 1.9694,                0.54758,                 1.1868,                0.94872,                0.94388,                0.97113,                0.51229,                 2.3039,                0.57349,                 1.3275,               0.007426,               0.007426,               0.007426
                     80,                 1.9703,                0.54808,                 1.1876,                0.95063,                0.94519,                0.97332,                0.51752,                 2.2744,                0.56857,                 1.3246,               0.007393,               0.007393,               0.007393
                     81,                 1.9712,                0.54839,                 1.1904,                0.94837,                0.94309,                0.97028,                0.50266,                 2.3677,                 0.5777,                 1.3347,                0.00736,                0.00736,                0.00736
                     82,                  1.928,                 0.5393,                 1.1758,                0.94822,                0.94442,                0.96978,                0.50908,                 2.3369,                0.57534,                 1.3393,               0.007327,               0.007327,               0.007327
                     83,                  1.967,                0.54383,                 1.1788,                0.94857,                0.94262,                0.97099,                0.50813,                 2.3505,                0.57559,                 1.3414,               0.007294,               0.007294,               0.007294
                     84,                 1.9391,                0.54268,                 1.1744,                0.95104,                0.94391,                 0.9721,                0.51208,                 2.3064,                0.57211,                 1.3278,               0.007261,               0.007261,               0.007261
                     85,                  1.919,                0.53862,                 1.1764,                0.94924,                0.94282,                0.97018,                0.50508,                 2.3596,                0.57418,                 1.3414,               0.007228,               0.007228,               0.007228
                     86,                 1.9359,                0.53935,                 1.1731,                0.95049,                0.94328,                0.97117,                0.50724,                 2.3607,                0.57161,                 1.3393,               0.007195,               0.007195,               0.007195
                     87,                 1.9126,                0.53544,                 1.1786,                0.94608,                0.94572,                0.97126,                0.50289,                  2.388,                0.57594,                 1.3439,               0.007162,               0.007162,               0.007162
                     88,                 1.8974,                0.53244,                 1.1793,                0.94926,                0.94539,                0.97024,                0.50763,                 2.3368,                0.56957,                 1.3435,               0.007129,               0.007129,               0.007129
                     89,                 1.9358,                0.53874,                 1.1654,                0.95181,                0.94407,                0.97094,                0.51408,                 2.3001,                0.56702,                 1.3348,               0.007096,               0.007096,               0.007096
                     90,                 1.9231,                0.53586,                 1.1662,                 0.9492,                0.94527,                0.97065,                0.51018,                 2.3154,                0.57128,                 1.3356,               0.007063,               0.007063,               0.007063
                     91,                 1.9064,                0.53293,                 1.1678,                0.94592,                0.94773,                0.96955,                0.51286,                 2.3064,                0.56826,                  1.337,                0.00703,                0.00703,                0.00703
                     92,                  1.882,                0.53099,                 1.1672,                0.95191,                0.94384,                0.97256,                0.51427,                 2.3148,                0.56861,                 1.3326,               0.006997,               0.006997,               0.006997
                     93,                 1.9016,                0.53216,                  1.167,                0.94951,                0.94079,                0.96952,                0.49939,                 2.4327,                0.57935,                  1.356,               0.006964,               0.006964,               0.006964
                     94,                 1.8929,                0.53111,                 1.1632,                0.94919,                0.94314,                 0.9715,                 0.5066,                 2.3836,                0.57188,                 1.3523,               0.006931,               0.006931,               0.006931
                     95,                 1.8996,                0.53142,                 1.1581,                0.94991,                0.94428,                0.97157,                0.50488,                 2.3871,                0.57172,                 1.3495,               0.006898,               0.006898,               0.006898
                     96,                 1.8885,                 0.5317,                 1.1567,                0.95088,                0.94457,                 0.9726,                0.51033,                 2.3336,                0.56751,                 1.3443,               0.006865,               0.006865,               0.006865
                     97,                 1.8622,                0.52562,                 1.1554,                0.95176,                0.94341,                 0.9709,                0.50771,                 2.3535,                0.56978,                 1.3472,               0.006832,               0.006832,               0.006832
